Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
,1,2460590.392,2024-10-06T21:25:00.000,5,0.612372436,-4.4,29,-4.401157042,29.00013762,1958.009973,1951.546763,1973.778241,112.7156374,109.0065948,118.1610649,,,,
3,2,2460593.994,2024-10-10T11:51:00.000,41,0.631023557,12.19512195,124.3170732,12.20249658,124.3187571,1971.716325,1951.170488,2008.128354,79.68963282,59.70102721,108.6268163,,,,
,3,2460593.994,2024-10-10T11:51:00.000,46,0.851559662,-11.58695652,129.4782609,-11.5868581,129.4804663,1969.106709,1952.134572,1993.96434,112.0699627,99.46946292,118.2935529,,,,
,4,2460592.664,2024-10-09T03:56:06.000,2,1,0,170.5,0,170.5009043,1954.084901,1950.550861,1957.618942,126.6700321,124.0694326,129.2706315,,,,
,5,2460592.497,2024-10-08T23:55:22.500,163,0.977332863,-11.6993865,175.7300613,-11.71218003,175.7065776,1990.055834,1951.381205,2037.345909,113.800053,102.3934999,125.1927685,,,,
,6,2460591.995,2024-10-08T11:53:12.000,1,0,-13,195,-13,195,1950.610701,1950.610701,1950.610701,114.3393647,114.3393647,114.3393647,,,,
,7,2460591.995,2024-10-08T11:53:12.000,2,1,-13,198.5,-13,198.5007485,1953.489932,1950.565707,1956.414158,115.5690331,115.4481777,115.6898884,,,,
,8,2460591.995,2024-10-08T11:53:12.000,1,0,6,199,6,199,1951.121836,1951.121836,1951.121836,146.3746552,146.3746552,146.3746552,,,,
,9,2460591.995,2024-10-08T11:53:12.000,4,0.912870929,-12.75,201.25,-12.74907182,201.2510102,1959.160753,1952.323499,1967.077672,115.3252537,112.2590902,119.914564,,,,
,10,0,-04713-11-24T12:00:00.000,6,0.487950036,-5.666666667,297.8333333,-5.665973777,297.8277833,1980.68195,1956.012472,2018.391821,143.1180049,140.40708,145.9784961,,,,
,11,2460593.001,2024-10-09T12:02:09.000,16,0.986392681,14.6875,334.3125,14.69128662,334.318407,1982.672296,1950.48442,2043.120153,49.69687288,42.48517036,54.200536,,,,
,12,2460593.001,2024-10-09T12:02:09.000,554,0.960040065,-6.662454874,337.8231047,-6.610747325,337.8844698,2011.733481,1950.098876,2130.285534,125.4360454,88.3994132,152.552476,,,,
,1,2460610.766,2024-10-27T06:22:44.400,3,0.816496581,-13.33333333,100.3333333,-13.33247785,100.3336567,1955.306,1950.287797,1958.427201,92.96540753,91.59427374,95.00485317,,,,
,2,2460610.8,2024-10-27T07:11:27.857,7,0.952173478,14.71428571,130.1428571,14.71441664,130.1421988,1953.730484,1950.591832,1961.172042,79.98395085,76.52547693,84.64338122,,,,
,3,2460610.812,2024-10-27T07:29:15.000,1,0,15,135,15,135,1952.065011,1952.065011,1952.065011,81.84231009,81.84231009,81.84231009,,,,
,4,2460610.812,2024-10-27T07:29:15.000,2,1,14.5,141,14.50230231,141,1961.974048,1952.939916,1971.00818,85.49975356,82.68262314,88.31688399,,,,
,5,2460610.812,2024-10-27T07:29:15.000,2,1,12,144.5,12,144.4996427,1951.497036,1950.102392,1952.89168,96.90537527,94.46243073,99.34831981,,,,
,6,2460610.832,2024-10-27T07:57:27.600,1,0,15,158,15,158,1955.84017,1955.84017,1955.84017,76.26908332,76.26908332,76.26908332,,,,
,7,2460610.836,2024-10-27T08:03:11.455,219,0.912260684,-2.96803653,164.8721461,-2.965915976,164.8407602,1974.404131,1950.071367,2032.30206,97.35844228,83.00085784,117.2177745,,,,
,8,2460610.853,2024-10-27T08:28:33.000,2,1,8,171.5,8,171.5015047,1956.339245,1950.451657,1962.226832,98.15027801,97.48005561,98.82050042,,,,
,9,2460610.853,2024-10-27T08:28:33.000,5,0.944434872,4.4,172.8,4.40130039,172.7989298,1957.625432,1952.920834,1964.126929,102.6619708,101.1569617,103.9998041,,,,
,10,2460610.865,2024-10-27T08:45:14.400,7,0.913828731,14,198.4285714,14.00081585,198.428423,1954.896718,1950.797377,1960.041179,83.61278693,82.04066909,85.47698157,,,,
,11,2460610.875,2024-10-27T08:59:48.000,2,1,15,203.5,15,203.4993605,1956.650619,1954.147956,1959.153282,84.83240851,84.79334226,84.87147476,,,,
,12,2460610.875,2024-10-27T08:59:48.000,343,0.87042119,-3.405247813,206.8804665,-3.417172742,206.8747391,1980.336291,1950.753088,2046.977204,94.88938369,86.98456942,110.1558701,,,,
,13,2460610.882,2024-10-27T09:10:18.000,1,0,-12,227,-12,227,1951.190275,1951.190275,1951.190275,95.76436951,95.76436951,95.76436951,,,,
,14,2460610.882,2024-10-27T09:10:18.000,3,1,-13,231,-13.00030212,231,1960.887466,1953.076949,1974.731239,90.45100824,87.62407564,94.55992831,,,,
,15,2460610.882,2024-10-27T09:10:18.000,1,0,-12,234,-12,234,1954.818009,1954.818009,1954.818009,92.17624077,92.17624077,92.17624077,,,,
,16,2460610.882,2024-10-27T09:10:18.000,1,0,-14,234,-14,234,1952.204731,1952.204731,1952.204731,94.7676484,94.7676484,94.7676484,,,,
,17,2460610.882,2024-10-27T09:10:18.000,67,0.845083099,-6.268656716,234.9402985,-6.265915264,234.9368323,1968.329455,1950.640484,2008.013133,100.0910206,88.80794162,109.6971578,,,,
,18,2460610.882,2024-10-27T09:10:18.000,2,1,-2,237.5,-2,237.4996946,1953.17834,1951.985232,1954.371448,107.998066,107.1624603,108.8336716,,,,
,19,0,-04713-11-24T12:00:00.000,1,0,-13,239,-13,239,1950.321655,1950.321655,1950.321655,94.41353302,94.41353302,94.41353302,,,,
,20,0,-04713-11-24T12:00:00.000,1,0,-3,241,-3,241,1956.211568,1956.211568,1956.211568,102.0840584,102.0840584,102.0840584,,,,
,1,2460619.706,2024-11-05T04:57:03.000,2,1,-5,17.5,-5,17.49955122,1956.782935,1955.026589,1958.53928,115.9519736,114.8235926,117.0803546,,,,
,2,2460619.706,2024-11-05T04:57:03.000,1,0,-7,18,-7,18,1950.34677,1950.34677,1950.34677,106.8601224,106.8601224,106.8601224,,,,
,3,2460619.715,2024-11-05T05:10:01.680,1,0,-12,25,-12,25,1951.184844,1951.184844,1951.184844,111.4513798,111.4513798,111.4513798,,,,
,4,2460619.715,2024-11-05T05:10:01.680,2,1,-4,25.5,-4,25.49900126,1954.746467,1950.841908,1958.651026,121.9216069,121.1764965,122.6667172,,,,
,5,2460619.717,2024-11-05T05:12:30.000,1,0,-1,27,-1,27,1951.656314,1951.656314,1951.656314,127.6568876,127.6568876,127.6568876,,,,
,6,2460619.717,2024-11-05T05:12:30.000,1,0,-10,27,-10,27,1955.388978,1955.388978,1955.388978,116.6716619,116.6716619,116.6716619,,,,
1,7,2460619.717,2024-11-05T05:12:30.000,19,0.710994638,8.684210526,27.84210526,8.685281551,27.84140908,1970.809594,1950.285282,2006.818375,136.9395492,118.5792692,149.7063271,,,,
,8,2460619.717,2024-11-05T05:12:30.000,13,0.81837811,-12.53846154,29.46153846,-12.53881237,29.461756,1956.9087,1950.20306,1969.741148,112.9929809,108.2313984,116.284342,,,,
,9,2460619.717,2024-11-05T05:12:30.000,2,1,-1.5,30.5,-1.499467859,30.49946786,1953.096893,1951.018248,1955.175538,124.5306833,124.0987565,124.9626101,,,,
,10,2460619.717,2024-11-05T05:12:30.000,17,0.912038793,1.352941176,40.35294118,1.353316718,40.35114132,1960.485111,1951.458108,1972.217946,135.0297223,131.2837679,138.0767879,,,,
,11,2460619.728,2024-11-05T05:27:57.000,1,0,-5,51,-5,51,1953.18053,1953.18053,1953.18053,117.0562492,117.0562492,117.0562492,,,,
,12,2460619.728,2024-11-05T05:27:57.000,79,0.984664978,-12.65822785,51.13924051,-12.66168197,51.15559279,1968.063249,1950.176873,1997.053887,108.4260763,98.5821509,113.0839787,,,,
,13,2460619.73,2024-11-05T05:30:40.588,2,1,-6.5,54.5,-6.499900966,54.50009903,1951.22123,1950.834754,1951.607706,110.6598597,108.1808463,113.138873,,,,
,14,2460619.749,2024-11-05T05:58:51.000,1,0,-13,67,-13,67,1954.040514,1954.040514,1954.040514,100.6203982,100.6203982,100.6203982,,,,
,15,2460619.75,2024-11-05T06:00:10.457,3,1,-14,72,-14,71.99959397,1955.570405,1952.498074,1959.333005,105.8673005,105.1237474,106.9092248,,,,
2,16,2460619.76,2024-11-05T06:14:18.000,2,1,7.5,79,7.500293769,79,1952.014681,1950.8678,1953.161563,147.8443729,147.2136186,148.4751273,,,,
,17,2460619.76,2024-11-05T06:14:18.000,1,0,-14,79,-14,79,1956.701833,1956.701833,1956.701833,107.6864457,107.6864457,107.6864457,,,,
,1,0,-04713-11-24T12:00:00.000,8,0.707456979,-12.125,119.125,-12.12414618,119.1268561,1963.974651,1950.591607,1979.565007,107.7609361,101.2980042,112.5015289,,,,
,2,0,-04713-11-24T12:00:00.000,4,0.790569415,-8.25,121,-8.25016638,121.000462,1953.459332,1951.22336,1955.73227,122.1205631,116.6866899,126.9962102,,,,
,3,2460629.691,2024-11-15T04:35:24.000,2,1,-12,122.5,-12,122.4989904,1963.219522,1959.255399,1967.183644,110.096865,108.6582891,111.5354409,,,,
,4,2460629.691,2024-11-15T04:35:24.000,2,1,1,130.5,1,130.5005825,1957.607578,1955.326889,1959.888266,129.8537985,128.3351523,131.3724448,,,,
,5,2460629.697,2024-11-15T04:43:45.600,219,0.89050324,-9.273972603,135.6027397,-9.28005368,135.6024092,1972.552692,1950.307277,2011.553783,102.898346,86.96573517,132.3308154,,,,
,6,2460629.705,2024-11-15T04:54:37.680,1,0,-3,150,-3,150,1952.622946,1952.622946,1952.622946,114.2565861,114.2565861,114.2565861,,,,
,7,2460629.742,2024-11-15T05:48:43.837,1,0,-12,203,-12,203,1952.651411,1952.651411,1952.651411,102.8017172,102.8017172,102.8017172,,,,
,8,2460629.752,2024-11-15T06:03:19.200,1,0,-8,210,-8,210,1954.803241,1954.803241,1954.803241,109.4947581,109.4947581,109.4947581,,,,
,9,2460629.761,2024-11-15T06:15:31.592,1,0,-1,218,-1,218,1952.698695,1952.698695,1952.698695,135.7612127,135.7612127,135.7612127,,,,
,10,2460629.768,2024-11-15T06:25:40.800,465,0.986242437,-8.778494624,220.0516129,-8.796530999,220.153006,1975.759552,1950.013268,2042.024295,109.2092686,87.22711836,153.5767566,,,,
,11,2460629.768,2024-11-15T06:25:40.800,25,0.942200242,0.88,225.92,0.877486121,225.9168609,1959.70257,1950.747657,1972.271347,144.9008186,129.6637918,155.0909647,,,,
,12,2460629.793,2024-11-15T07:02:25.500,26,0.916938889,-3.423076923,261.1538462,-3.423649001,261.1553118,1970.674133,1952.354863,2004.138012,109.9241972,106.9837024,113.1506139,,,,
,13,2460629.798,2024-11-15T07:08:58.000,1,0,15,267,15,267,1970.476381,1970.476381,1970.476381,70.27793059,70.27793059,70.27793059,,,,
,14,2460629.798,2024-11-15T07:08:58.000,1,0,15,269,15,269,1951.785481,1951.785481,1951.785481,69.37461731,69.37461731,69.37461731,,,,
,15,2460629.805,2024-11-15T07:19:27.000,1,0,-3,279,-3,279,1961.416544,1961.416544,1961.416544,111.2167933,111.2167933,111.2167933,,,,
,1,2460632.828,2024-11-18T07:52:50.400,342,0.593119048,1.596491228,33.72222222,1.635910315,33.73125103,2001.561063,1950.620086,2100.424885,136.2446768,95.3737064,174.2956473,,,,
,2,2460632.843,2024-11-18T08:13:46.000,209,0.714704647,-8.296650718,57.70334928,-8.316975063,57.74961282,2006.043206,1950.168314,2096.294958,114.5248965,99.14526874,137.0441918,,,,
,3,2460632.65,2024-11-18T03:35:36.750,6,0.915793856,-1.333333333,215.5,-1.333499734,215.4998429,1955.273793,1950.608362,1958.665285,133.0217707,127.9984516,136.691049,,,,
,4,2460632.652,2024-11-18T03:38:14.000,1,0,-1,221,-1,221,1951.499113,1951.499113,1951.499113,132.8430695,132.8430695,132.8430695,,,,
,5,2460632.659,2024-11-18T03:48:42.000,1,0,-4,234,-4,234,1953.431574,1953.431574,1953.431574,114.1397329,114.1397329,114.1397329,,,,
,6,2460632.659,2024-11-18T03:48:42.000,13,0.799201054,-8.384615385,236.3846154,-8.385000065,236.3863479,1953.377316,1950.835639,1963.737293,104.2544298,99.70408886,109.4074151,,,,
,7,2460632.665,2024-11-18T03:58:12.545,1,0,-6,243,-6,243,1950.061728,1950.061728,1950.061728,110.3230564,110.3230564,110.3230564,,,,
,8,2460632.674,2024-11-18T04:11:12.471,215,0.946564531,-9.334883721,258.2325581,-9.336229324,258.2356215,1964.253597,1950.208596,1989.411538,108.4728762,98.85684245,125.1448001,,,,
,9,2460632.691,2024-11-18T04:34:52.941,1,0,-4,271,-4,271,1956.476893,1956.476893,1956.476893,117.6841461,117.6841461,117.6841461,,,,
,1,2460642.651,2024-11-28T03:37:54.000,1,0,-14,2,-14,2,1955.605722,1955.605722,1955.605722,84.11033947,84.11033947,84.11033947,,,,
,2,2460642.699,2024-11-28T04:46:54.960,490,0.943602917,-2.197959184,58.40816327,-2.1807724,58.40197393,2005.739835,1950.190461,2144.43767,129.8462406,96.3299391,149.3674185,,,,
,3,2460642.779,2024-11-28T06:41:19.560,4,1,15,128.5,15,128.4998296,1959.934559,1957.13781,1965.499277,85.87424392,84.74203482,87.23156188,,,,
3,4,2460642.785,2024-11-28T06:50:12.000,13,0.827000565,9.615384615,130.7692308,9.61543594,130.7691647,1965.455708,1953.378303,1981.639626,124.1459989,109.4710041,140.2782251,,,,
,5,2460642.785,2024-11-28T06:50:12.000,1,0,-14,131,-14,131,1959.067409,1959.067409,1959.067409,96.19865569,96.19865569,96.19865569,,,,
,6,2460642.785,2024-11-28T06:50:12.000,1,0,-14,134,-14,134,1951.847784,1951.847784,1951.847784,96.1865533,96.1865533,96.1865533,,,,
,7,2460643.311,2024-11-28T19:27:08.571,5,0.896093326,-3.2,189.4,-3.199897593,189.3999066,1952.439806,1950.356419,1956.940837,120.7565999,117.8961156,123.376664,,,,
,8,2460643.392,2024-11-28T21:24:57.882,17,0.917149062,-3.117647059,196.1764706,-3.118174629,196.1780729,1958.047256,1950.515295,1966.304336,122.5906162,119.3178902,126.1368328,,,,
,9,2460643.56,2024-11-29T01:26:35.593,37,0.908775137,-4.648648649,210.1081081,-4.649185859,210.1062435,1965.930805,1951.034094,1986.712891,121.7069519,114.9398963,125.110435,,,,
,10,2460643.723,2024-11-29T05:20:52.800,15,0.903277383,-1.466666667,238.4666667,-1.466498633,238.4660138,1956.245171,1950.352659,1964.822671,123.4757901,117.9982835,132.0887355,,,,
6,11,2460643.723,2024-11-29T05:20:52.800,8,0.812409755,7.75,238.625,7.749479389,238.6284048,1961.505397,1951.044651,1974.811437,129.2353336,117.4297487,135.9175413,,,,
,12,2460643.757,2024-11-29T06:10:22.680,117,0.788385464,-4.555555556,268.4358974,-4.558352676,268.4460649,1985.916923,1950.029774,2047.369715,112.3858061,95.83189103,120.7083219,,,,
,13,2460643.783,2024-11-29T06:46:57.600,62,0.881314276,-1.467741935,288.8709677,-1.465982633,288.8719836,1977.591711,1950.387375,2012.741199,120.7071805,109.0372817,129.0761845,,,,
,14,2460643.814,2024-11-29T07:32:24.429,83,0.440358725,-7.807228916,325.0240964,-7.794342544,325.0235278,1971.706239,1951.224241,2006.363993,112.6836363,101.2014104,126.2713647,,,,
,15,2460643.827,2024-11-29T07:50:20.000,7,0.909850172,-11,344.8571429,-10.99994506,344.8592892,1956.643179,1950.835967,1967.08741,101.8917705,99.8731656,104.197415,,,,
,16,2460643.827,2024-11-29T07:51:08.308,1,0,-12,349,-12,349,1950.090204,1950.090204,1950.090204,103.9728712,103.9728712,103.9728712,,,,
,17,2460643.828,2024-11-29T07:52:57.000,1,0,-12,351,-12,351,1959.798634,1959.798634,1959.798634,100.0984965,100.0984965,100.0984965,,,,
,18,2460643.828,2024-11-29T07:52:57.000,91,0.928165722,-2.758241758,351.4285714,-2.75741948,351.441272,1987.613136,1950.086423,2048.967611,118.8759716,105.8314423,125.2339761,,,,
,19,2460643.834,2024-11-29T08:00:48.000,1,0,-12,355,-12,355,1953.327181,1953.327181,1953.327181,101.4914512,101.4914512,101.4914512,,,,
,1,2460647.617,2024-12-03T02:48:18.000,1,0,-14,39,-14,39,1955.196599,1955.196599,1955.196599,101.3008436,101.3008436,101.3008436,,,,
,2,2460647.617,2024-12-03T02:48:18.000,45,0.675611921,-7.177777778,39.2,-7.173034506,39.19970154,1963.632797,1950.159529,1984.693478,110.4482371,97.52754193,122.1494157,,,,
,3,2460647.617,2024-12-03T02:48:18.000,3,0.816496581,-13.33333333,41.66666667,-13.3338877,41.66703898,1954.225805,1952.04308,1957.475907,98.99604606,98.09128431,99.53979907,,,,
,4,2460647.621,2024-12-03T02:54:49.875,9,0.947326937,-13.55555556,46.66666667,-13.55575854,46.66682618,1960.215605,1956.120147,1963.929546,100.0470149,98.82310683,102.0277317,,,,
,5,2460647.631,2024-12-03T03:09:12.000,346,0.950821145,-2.878612717,68.75433526,-2.8655905,68.72964576,2019.546642,1950.005728,2131.965994,130.326586,105.0437969,141.5606823,,,,
3,6,2460647.71,2024-12-03T05:02:22.800,3,0.816496581,8.666666667,133.3333333,8.66650924,133.3328326,1954.383072,1951.447118,1956.396012,138.9502884,132.6419238,146.2373125,,,,
,7,2460647.749,2024-12-03T05:58:49.800,1,0,-8,174,-8,174,1953.008284,1953.008284,1953.008284,102.4251445,102.4251445,102.4251445,,,,
,8,2460647.754,2024-12-03T06:05:06.000,1,0,-14,176,-14,176,1951.487455,1951.487455,1951.487455,101.2609354,101.2609354,101.2609354,,,,
,9,2460647.754,2024-12-03T06:05:06.000,3,0.816496581,-7.666666667,176.3333333,-7.666980758,176.3333099,1951.947935,1950.108665,1953.924651,106.5739463,104.4794623,109.3658407,,,,
,10,2460647.76,2024-12-03T06:14:33.849,1,0,6,183,6,183,1951.353048,1951.353048,1951.353048,141.0990665,141.0990665,141.0990665,,,,
,11,2460647.783,2024-12-03T06:46:54.000,6,1,15,202.5,15,202.5007308,1958.250407,1951.528018,1971.597981,77.05381964,74.39907188,80.49116073,,,,
,12,2460647.783,2024-12-03T06:46:54.000,57,0.759852032,-4.263157895,203.4736842,-4.266238888,203.4792087,1986.875093,1951.960226,2036.384332,122.6324674,106.4798514,136.7413909,,,,
,13,2460647.798,2024-12-03T07:08:46.227,25,0.88289985,-5.6,222.48,-5.599471786,222.4805376,1959.363587,1950.371413,1970.401597,108.9086138,95.84866101,117.9834703,,,,
,14,2460646.899,2024-12-02T09:34:43.610,95,0.777408592,-5.589473684,264.8526316,-5.585953052,264.8541767,1965.184129,1950.55025,1984.422433,113.3920293,102.771524,126.5432905,,,,
,15,2460646.649,2024-12-02T03:34:00.000,42,0.919437483,-1.261904762,288.8809524,-1.26082497,288.8824242,1964.161363,1951.032255,1986.223617,118.1373429,109.5264402,124.5126051,,,,
,16,2460646.7,2024-12-02T04:48:03.000,237,0.978266297,-10.71729958,337.0421941,-10.7218805,337.0780606,1982.255509,1950.301095,2024.085478,105.2613523,92.13832235,127.0262529,,,,
,17,2460646.7,2024-12-02T04:48:03.000,2,1,15,341.5,15,341.4998613,1956.376866,1955.834332,1956.9194,79.84239064,79.77234127,79.91244,,,,
,18,2460646.701,2024-12-02T04:48:56.743,1,0,15,345,15,345,1952.072641,1952.072641,1952.072641,77.7665158,77.7665158,77.7665158,,,,
,19,2460646.707,2024-12-02T04:58:30.000,5,1,15,350,15,350.003621,1956.987562,1950.033772,1966.439719,77.3931094,75.67232734,79.06967707,,,,
,20,2460646.707,2024-12-02T04:58:30.000,90,0.932588785,-2.877777778,352.0111111,-2.876784452,352.0351884,2004.927923,1951.868879,2079.888814,119.7725857,100.7299909,128.7031345,,,,
,21,2460646.707,2024-12-02T04:58:30.000,1,0,15,355,15,355,1950.855037,1950.855037,1950.855037,75.25577658,75.25577658,75.25577658,,,,
,1,2460649.627,2024-12-05T03:03:06.000,1,0,-11,5,-11,5,1951.495578,1951.495578,1951.495578,105.1924999,105.1924999,105.1924999,,,,
,2,2460649.627,2024-12-05T03:03:06.000,67,0.917538448,-3.582089552,6.970149254,-3.58019554,6.966830491,1983.728849,1950.723698,2026.97468,124.7209818,109.7168736,132.2627566,,,,
