Tags,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
1,1,2460599.603,2024-10-16T02:27:58.941,700,0.960938068,-0.43,24.77714286,-0.412890728,24.70142558,158.8765105,145.0293392,186.6426363,1840.210153,1490.201565,2146.798416,145
,2,2460598.016,2024-10-14T12:23:06.000,170,0.813863699,3.335294118,74.15294118,3.441465566,74.12880574,161.0216228,145.4951023,194.0876511,1911.943153,1491.092054,2260.979237,145
,1,2460619.716,2024-11-05T05:11:18.692,12,0.885543562,7.166666667,25.66666667,7.169492368,25.66604902,148.0314432,146.2592092,151.3632341,1930.904028,1850.411966,1980.639838,145
,2,2460619.759,2024-11-05T06:12:22.125,26,0.892058285,6.730769231,76.96153846,6.734653515,76.96376943,147.610047,145.1005995,153.8847906,1903.044136,1806.425336,1953.161563,145
,1,2460632.825,2024-11-18T07:47:43.102,191,0.864211243,3.769633508,28.51308901,3.832992512,28.55067764,158.8175854,145.0110299,176.5405218,1960.074385,1735.665022,2100.424885,145
,1,2460642.674,2024-11-28T04:10:15.170,57,0.929469586,5.701754386,36.52631579,5.705278587,36.51473882,149.7718469,145.0418953,156.0477318,1891.072245,1810.002811,1988.40342,145
,2,2460642.703,2024-11-28T04:52:05.208,6,0.980553833,1.833333333,61.66666667,1.830897753,61.67079862,146.0202253,145.3953693,147.0676949,2085.318638,2047.01927,2114.073842,145
,3,2460642.723,2024-11-28T05:21:06.913,2,1,4.5,82,4.500083193,82,146.1782204,146.1538985,146.2025424,1766.889635,1765.09254,1768.686731,145
,4,2460642.777,2024-11-28T06:39:07.920,15,0.880853049,6.066666667,127.2666667,6.067431134,127.2626186,146.500374,145.0941534,148.8144108,1768.815476,1682.744638,1855.354431,145
,1,2460647.612,2024-12-03T02:40:59.100,19,0.917313518,6.105263158,31.10526316,6.109206156,31.10700143,147.6116381,145.0396989,151.8055158,1786.971171,1762.835425,1816.451493,145
,2,2460647.704,2024-12-03T04:53:12.125,24,0.867508405,6.583333333,130.5833333,6.583130952,130.5816994,148.4790295,145.4076753,152.0067583,1845.878675,1738.013059,1955.306088,145
,3,2460647.758,2024-12-03T06:11:22.200,1,0,5,180,5,180,147.8991366,147.8991366,147.8991366,1918.808182,1918.808182,1918.808182,145
,1,2460649.639,2024-12-05T03:20:04.500,68,0.911588687,5.352941176,32.79411765,5.35288602,32.80297398,154.2822306,145.2913348,164.9508719,1829.928107,1742.231601,1911.751558,145
,2,2460649.751,2024-12-05T06:01:05.265,69,0.857220894,5.985507246,131.4637681,5.996478488,131.4630716,154.0220954,145.2490647,164.3029685,1809.197478,1661.379661,2006.828696,145
,1,2460681.645,2025-01-06T03:28:06.360,62,0.885819762,5.983870968,52.75806452,5.98993954,52.75164845,152.2321832,145.1431129,161.2553257,1920.040806,1703.051917,2082.689564,145
,2,2460681.698,2025-01-06T04:45:18.511,50,0.97435504,5.54,101.12,5.544868012,101.1093081,148.656346,145.0164129,152.4949203,2059.906765,1838.927341,2166.360426,145
,3,2460681.749,2025-01-06T05:58:07.765,81,0.72369412,4.259259259,143.8888889,4.279394649,143.8949023,153.5854145,145.000264,164.6254259,1777.855081,1586.042281,2004.296106,145
,4,2460681.774,2025-01-06T06:34:06.419,44,0.829510851,4.681818182,173.0909091,4.696767583,173.0982054,151.3727147,145.1265356,157.7892266,1869.166044,1717.260872,1972.269279,145
,1,2460691.824,2025-01-16T07:46:09.000,34,0.564555228,2.147058824,12.55882353,2.156491931,12.55380563,147.8833395,145.3516143,152.608425,1878.716332,1846.880646,1898.35281,145
,2,2460691.527,2025-01-16T00:38:42.000,82,0.769271436,5.365853659,54.80487805,5.350109455,54.74385081,159.5297018,145.4735681,177.0470995,1803.109835,1656.199254,1932.040132,145
,1,2460692.73,2025-01-17T05:31:27.000,73,0.823508986,3.98630137,55.97260274,3.994178255,55.97328136,150.4772555,145.2634396,157.1395138,1852.57874,1775.111984,1928.912009,145
,1,2460702.584,2025-01-27T02:01:06.000,146,0.920939857,5.260273973,57.89041096,5.274385956,57.92138642,159.4754681,145.0116028,177.4837603,1863.416464,1706.349125,2061.533762,145
,2,2460702.618,2025-01-27T02:50:20.471,92,0.924493775,5.195652174,104.8695652,5.206634701,104.8363036,155.3512143,145.3565446,170.9995872,1916.143806,1826.018117,2010.46272,145
,3,2460702.666,2025-01-27T03:59:33.200,45,0.883614959,3.733333333,148.6666667,3.733578654,148.6640836,147.639938,145.0726327,151.2268457,1824.805588,1687.819408,1938.711658,145
,4,2460702.7,2025-01-27T04:48:40.364,59,0.84849949,4.372881356,175.2033898,4.376883059,175.2029709,152.9036513,145.518393,161.4568774,1884.320128,1691.876003,2047.089825,145
,1,2460704.614,2025-01-29T02:44:21.375,132,0.889567881,5.098484848,59.08333333,5.120516623,59.08910712,160.1669022,145.0297661,179.1090682,1870.136588,1736.258198,2050.809232,145
,2,2460704.669,2025-01-29T04:03:47.872,126,0.912520212,3.880952381,107.1904762,3.907020761,107.2148928,156.3148775,145.0833405,171.1939876,1913.803562,1797.929601,2001.106788,145
,3,2460704.715,2025-01-29T05:08:58.163,1,0,4,146,4,146,146.4570484,146.4570484,146.4570484,1685.533032,1685.533032,1685.533032,145
,4,2460704.718,2025-01-29T05:13:23.412,2,1,4,148.5,4,148.5029682,146.3436089,145.4748402,147.2123777,1748.581175,1735.114217,1762.048133,145
,5,2460704.745,2025-01-29T05:52:05.182,45,0.761737391,3.533333333,176.3111111,3.539900991,176.3311831,152.2449273,145.043316,159.4768005,1866.755804,1747.640503,1990.843871,145
,1,2460734.594,2025-02-28T02:15:00.000,1,0,0,62,0,62,146.1174849,146.1174849,146.1174849,1737.907983,1737.907983,1737.907983,145
,2,2460734.594,2025-02-28T02:15:00.000,44,0.71547664,2.954545455,66.79545455,2.966557721,66.7887501,148.2617859,145.0355796,153.0201137,1770.573587,1713.254677,1817.580352,145
,3,2460734.626,2025-02-28T03:01:33.750,53,0.857764841,3.358490566,122.3018868,3.359198806,122.3026111,147.5942569,145.1677507,151.658574,1959.986407,1924.916819,1995.350098,145
,4,2460734.661,2025-02-28T03:52:31.154,152,0.816375367,3.868421053,153.6644737,3.897432942,153.6436567,156.7550687,145.0141677,172.7171802,1928.773892,1771.705344,2047.032401,145
,5,2460734.675,2025-02-28T04:12:24.000,22,0.798854762,4.045454545,178.5454545,4.048103487,178.553777,148.8685953,145.1575569,153.1970013,1867.501163,1818.052846,1919.774204,145
,1,2460736.617,2025-03-02T02:48:04.579,72,0.847265849,4.305555556,69.79166667,4.3162091,69.79192673,151.3217476,145.0092687,156.3820881,1787.283685,1701.654865,1849.138084,145
,2,2460736.676,2025-03-02T04:13:40.435,41,0.657183724,3.951219512,120.0731707,3.959256494,120.0787956,148.7415536,145.3286638,152.2689084,1899.556955,1856.911051,1944.180446,145
,3,2460736.692,2025-03-02T04:36:58.000,183,0.693406922,4.06010929,152.568306,4.149495027,152.5097336,163.5965943,145.3048101,189.7289751,1889.062131,1772.06514,1960.687798,145
,4,2460736.7,2025-03-02T04:48:33.000,2,1,1,164.5,1,164.4990981,145.890466,145.6273047,146.1536273,1862.223217,1855.125786,1869.320648,145
,5,2460736.7,2025-03-02T04:48:33.000,4,0,3.5,167.5,3.497422111,167.4999302,146.2659285,145.4569019,147.0341033,1805.063154,1787.440738,1822.563995,145
,1,2460743.598,2025-03-09T02:20:24.000,10,0.954770463,0.5,38.7,0.482706811,38.70273797,148.4405432,145.2327968,154.9815131,1718.456514,1700.077907,1735.216738,145
,2,2460743.598,2025-03-09T02:20:24.000,2,1,1.5,41,1.500800562,41,145.9721491,145.7384297,146.2058685,1728.499312,1722.170119,1734.828505,145
,3,2460743.598,2025-03-09T02:20:24.000,1,0,-2,43,-2,43,145.4288398,145.4288398,145.4288398,1768.989328,1768.989328,1768.989328,145
,4,2460743.68,2025-03-09T04:19:44.400,91,0.652185098,1.516483516,176.5384615,1.527055514,176.5676909,152.7151415,145.6114463,162.2032491,1983.770931,1901.76101,2065.204603,145
,1,2460937.95,2025-09-19T10:48:14.000,65,0.855469421,-1.784615385,4.276923077,-1.797939594,4.28108829,150.1274762,145.2988656,156.514613,1896.690567,1829.465017,1966.994579,145
2,2,2460937.965,2025-09-19T11:09:24.000,346,0.868195452,-1.150289017,28.86416185,-1.166336329,28.83387448,155.0909535,145.0601596,169.1885721,2024.396192,1854.838692,2315.111803,145
,3,2460938.009,2025-09-19T12:12:54.000,111,0.402501466,1.441441441,106.3153153,1.456578835,106.4064203,153.8159072,145.0839051,171.8443606,1757.369786,1677.58592,1861.760846,145
,1,2460944.934,2025-09-26T10:25:13.500,3,0.816496581,4.333333333,10.66666667,4.333242667,10.66690527,145.2883559,145.1843562,145.4318738,1864.105691,1843.410122,1878.324236,145
2,2,2460944.951,2025-09-26T10:49:02.400,255,0.551473592,-0.639215686,38.94901961,-0.645735344,38.979369,153.5482253,145.0007079,164.3970378,2082.574298,1834.220129,2376.911602,145
,3,2460945.006,2025-09-26T12:08:24.000,152,0.95886362,4.157894737,120.7565789,4.191223777,120.8709187,152.1739968,145.132876,168.6274753,1807.464255,1704.708977,1874.978437,145
,1,2460949,2025-09-30T11:59:28.258,17,0.882256185,-4.647058824,11.64705882,-4.646881447,11.64207607,147.5810507,145.4245584,150.4571021,1850.005434,1831.214585,1881.43402,145
2,2,2460949.581,2025-10-01T01:55:55.286,265,0.78798978,-1.022641509,42.15849057,-1.008537314,42.15211742,153.7639016,145.1634744,163.1751437,2005.159393,1768.286496,2300.671438,145
,3,2460949.959,2025-10-01T11:00:46.957,122,0.896149255,-1.163934426,122.9098361,-1.163116105,122.9169611,148.7333412,145.1060921,152.8195124,1857.129357,1817.72191,1910.034937,145
,4,2460949.997,2025-10-01T11:55:07.500,157,0.949627214,-1.324840764,170.3821656,-1.313742649,170.457228,150.0499436,145.0769094,156.0775559,1834.605021,1776.04882,1899.879001,145
2,1,2460965.678,2025-10-17T04:16:59.311,198,0.903142907,-0.414141414,52.17171717,-0.416236097,52.18978791,150.4689823,145.0651062,155.9775175,1916.969472,1809.975135,2128.175181,145
,2,2460965.922,2025-10-17T10:07:57.923,27,0.811664948,0.888888889,94.74074074,0.890721429,94.74106997,147.1546124,145.2778261,149.000774,1785.704635,1763.000536,1820.38605,145
,3,2460965.972,2025-10-17T11:20:07.875,512,0.991027541,-0.7578125,139.9960938,-0.760525369,140.000585,152.466623,145.0320057,162.3764847,1818.887944,1710.319917,1901.081002,145
2,1,2460967.93,2025-10-19T10:19:31.412,99,0.940880656,-0.666666667,58.24242424,-0.668331865,58.24130103,147.0727661,145.0069925,149.7784234,1943.067968,1846.154729,2087.524843,145
,2,2460967.975,2025-10-19T11:24:04.962,10,0.883542619,2.1,96.8,2.099971911,96.79857882,145.682772,145.0595837,146.3730524,1788.07999,1769.746702,1804.169065,145
,3,2460968.001,2025-10-19T12:01:59.561,21,0.922246875,3,127.6666667,3.002713428,127.6667781,146.8998959,145.064997,148.7717575,1825.467231,1809.170947,1846.970525,145
,4,2460968.028,2025-10-19T12:40:12.000,7,0.974808425,-0.142857143,172.4285714,-0.138024991,172.4227969,146.5229926,145.4078289,148.4627358,1858.556354,1840.783322,1870.651279,145
,5,2460968.028,2025-10-19T12:40:12.000,2,1,1.5,174.5,1.50095912,174.4990409,145.4567603,145.1777392,145.7357814,1829.705089,1824.758716,1834.651462,145
,1,2460977.801,2025-10-29T07:14:09.231,73,0.919020691,2.465753425,56.15068493,2.466651483,56.15869185,149.7580083,145.2019917,156.941469,1961.836695,1893.230935,2013.503173,145
,2,2460977.805,2025-10-29T07:19:34.737,1,0,0,65,0,65,145.84475,145.84475,145.84475,2025.126756,2025.126756,2025.126756,145
,3,2460977.807,2025-10-29T07:22:17.143,1,0,0,67,0,67,145.3200296,145.3200296,145.3200296,2026.580825,2026.580825,2026.580825,145
2,4,2460977.811,2025-10-29T07:28:00.000,27,0.784996349,-1.185185185,72.51851852,-1.186270438,72.52001511,147.1201165,145.0527034,149.1198374,2070.248787,1987.064984,2138.385981,145
,5,2460977.848,2025-10-29T08:21:12.453,49,0.84465614,5.448979592,126.0408163,5.450168537,126.0411485,148.878972,145.1556177,154.1376885,1873.31606,1835.767389,1920.770181,145
,6,2460977.901,2025-10-29T09:37:14.717,115,0.913631485,3.72173913,169.4347826,3.733844431,169.4037325,152.1893462,145.0020433,162.0866124,1881.718255,1832.641379,1973.793969,145
,1,2460978.993,2025-10-30T11:49:42.692,156,0.917905263,5.08974359,52.60897436,5.099782232,52.62816287,151.467874,145.031876,158.0240886,1932.952247,1894.290474,1978.635126,145
2,2,2460979.006,2025-10-30T12:08:20.571,67,0.858549092,-4.28358209,75.62686567,-4.286886171,75.62578631,148.6109428,145.0006826,152.4359572,2094.942858,1993.5757,2167.712953,145
,1,2460981.866,2025-11-02T08:47:34.444,100,0.921751904,4.84,52.52,4.849606415,52.5355404,150.0082991,145.0061762,155.2210671,1965.830522,1913.580072,2013.040288,145
,2,2460981.895,2025-11-02T09:29:05.556,2,1,-4.5,78,-4.49887254,78,146.2079503,145.8782632,146.5376375,2123.265259,2108.472034,2138.058484,145
,3,2460982,2025-11-02T12:00:06.122,11,0.937465034,1.909090909,173.2727273,1.909676835,173.2715617,145.8020521,145.1403622,146.7285254,1897.55613,1888.872728,1911.232335,145
,1,2460983.919,2025-11-04T10:03:24.000,15,0.617972747,2.133333333,55.33333333,2.133959961,55.33353351,146.0457179,145.0369866,147.2405456,1916.927411,1900.48595,1943.472876,145
,2,2460984.011,2025-11-04T12:16:00.000,13,0.965208878,-0.230769231,174.5384615,-0.232864095,174.5419034,147.9189442,145.4197893,151.3743712,1787.745023,1766.002593,1805.982626,145
,1,2460984.818,2025-11-05T07:38:00.000,203,0.556647899,-0.226600985,158.4334975,-0.171709123,158.620986,163.9930641,145.0028387,199.7456154,1795.884129,1743.67345,1857.462381,145
,1,2460991.792,2025-11-12T07:00:45.000,1206,0.816313294,-0.078772803,107.4369818,0.468061171,101.9336756,251.2363656,145.0324252,641.1817678,1917.112053,1774.002997,2081.447223,145
,2,2460991.814,2025-11-12T07:32:00.000,3,0.816496581,14.66666667,146.3333333,14.66561151,146.3330553,145.3441465,145.0053063,145.8042273,1809.900059,1806.226675,1816.006876,145
,1,2460995.806,2025-11-16T07:21:10.800,80,0.92108248,5.025,59.025,5.0286202,59.04307772,150.5190194,145.2960089,157.3444874,1893.353736,1805.642604,1945.725915,145
,2,2460995.826,2025-11-16T07:49:01.500,80,0.683630461,-2.3625,95.1125,-2.370057551,95.11626857,147.849833,145.0158609,151.2854578,1855.4889,1790.856749,1975.964792,145
,3,2460995.828,2025-11-16T07:51:46.615,5,0.816496581,4.6,98.2,4.597956743,98.20049848,145.8400347,145.0167544,146.7223461,1822.49233,1813.611036,1830.569116,145
,4,2460995.832,2025-11-16T07:58:18.000,22,0.925364092,4.090909091,104.2272727,4.089646689,104.2229863,147.3388305,145.1126064,151.5432011,1804.215793,1741.388307,1847.797084,145
,1,2461023.697,2025-12-14T04:44:00.000,3,0.816496581,3.333333333,21.33333333,3.335845915,21.33311444,147.299037,146.2854642,148.4093395,1705.669787,1693.234278,1719.43822,145
,2,2461023.701,2025-12-14T04:49:15.000,48,0.940916034,3.25,35.79166667,3.25131807,35.76967389,149.95621,145.0562684,157.1591244,1938.552535,1834.585732,2012.129493,145
,3,2461023.719,2025-12-14T05:15:37.500,52,0.953931019,3.903846154,69.25,3.903659396,69.27685945,152.1641876,145.60088,159.9571301,1831.405623,1752.140072,1928.020669,145
,4,2461023.749,2025-12-14T05:58:14.423,8,0.894427191,3.5,106.5,3.50070341,106.497749,147.0070174,145.7463795,148.5275759,1811.843901,1792.264942,1840.722823,145
,5,2461023.777,2025-12-14T06:39:33.243,243,0.907899118,2.510288066,138.781893,2.610079901,138.8638366,155.9317353,145.0318642,177.0955639,1900.930578,1738.907293,2073.690638,145
,6,2461023.801,2025-12-14T07:13:00.000,17,0.534522484,4.352941176,178.5882353,4.362130788,178.5906215,149.98958,145.138385,153.7700403,1772.718677,1742.332047,1820.800236,145
,1,2461024.902,2025-12-15T09:39:30.000,45,0.931597685,2.844444444,35.68888889,2.845335643,35.6949581,146.6780809,145.0580746,148.8762349,1909.751851,1859.235565,1968.478762,145
,2,2461025.013,2025-12-15T12:18:00.000,4,0.790569415,3.25,141,3.249700142,140.9994484,145.4047366,145.1090911,145.8495983,1871.95451,1862.718354,1879.877484,145
,1,2461025.701,2025-12-16T04:49:44.706,801,0.592095993,0.615480649,19.00374532,0.868721627,18.16112582,175.2858062,145.0070472,255.4105396,1923.151442,1789.886694,2050.439594,145
,2,2461025.837,2025-12-16T08:05:24.490,128,0.908454772,3.3984375,139.6328125,3.412027826,139.6218389,149.9918519,145.0685503,156.6864081,1895.845677,1806.756487,1984.12856,145
,1,2461031.871,2025-12-22T08:54:47.143,4,0.836165849,2.5,37.75,2.499599674,37.74875478,145.5129579,145.2047121,145.854259,1892.207319,1875.182472,1917.674376,145
,1,2461039.661,2025-12-30T03:51:26.250,42,0.835738007,4.095238095,35.80952381,4.100438409,35.80386408,149.4332317,145.1205654,154.7631511,1826.419991,1763.452885,1947.060258,145
,2,2461039.698,2025-12-30T04:44:34.800,59,0.9745987,5.169491525,68.84745763,5.176085701,68.8693673,148.6645891,145.0058103,152.8606307,1817.370247,1787.871268,1848.577184,145
,3,2461039.743,2025-12-30T05:49:21.176,119,0.960034234,4.722689076,109.3865546,4.729141424,109.3629334,151.9400699,145.1151091,162.3249432,1934.7208,1822.880866,2145.166499,145
,4,2461039.78,2025-12-30T06:43:00.000,181,0.925919674,4.524861878,141.8066298,4.543069625,141.8576393,159.5176515,145.0115727,180.9920834,1888.223553,1752.559763,2212.362127,145
,5,2461039.823,2025-12-30T07:44:35.870,3,0.816496581,4.666666667,179.6666667,4.666436085,179.6679288,145.5707587,145.0195704,146.0212489,1767.09273,1757.571287,1774.680768,145
